,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
The Deveron 12 Year Old,https://www.masterofmalt.com/whiskies/macduff/the-deveron-12-year-old-whisky/,," Sweet baking spice, toffee apples and ginger.", A core of butterscotch with waxy malt and apple pie.," Wood spice, vanilla and soft oakiness.",Scotch Whisky,Scotch Whisky,The Deveron,The Deveron,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Fettercairn 12 Year Old,https://www.masterofmalt.com/whiskies/fettercairn/fettercairn-12-year-old-whisky/,," Refreshing nectarine, white flowers and milk chocolate emerge initially. Black toffee and subtle roasted coffee provide darker notes underneath,", Tropical fruit and sticky Jamaican ginger cake add a sweet and spicy depth which a flicker of bitter herbs and vanilla complement., Orchard fruits and soft spices linger.,Scotch Whisky,Highland Whisky,Fettercairn,Fettercairn,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Tomatin Cask Strength 57.5%,https://www.masterofmalt.com/whiskies/tomatin/tomatin-cask-strength-57-point-5-percent-whisky/,," Opens with home-made ice-cream drizzled with caramel and crushed walnuts, then moves on to Seville orange, red berries and black pepper."," Crystallised ginger, green apple and a touch of salty sea air. Sweet chocolate and cooking spices, growing intense on the mid-palate.", Lasting notes of vanilla pod and crumbly fudge.,Scotch Whisky,Highland Whisky,Tomatin,Tomatin,,,Single Malt Whisky,,57.5%,70cl
Tomatin 12 Year Old ,https://www.masterofmalt.com/whiskies/tomatin/tomatin-12-year-old-whisky/,," Buttery at first, but notes of raisin and almond soon take over."," Oak-y vanilla and fresh mint, dotted with stem ginger and dried orange peel."," Currant buns, a hint of raspberry jam, barley.",Scotch Whisky,Highland Whisky,Tomatin,Tomatin,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Speyburn 10 Year Old,https://www.masterofmalt.com/whiskies/speyburn-10-year-old-whisky/,," A fruity nose with hints of orange, mandarin and cooking apple. A touch of oak, peppermint and spice."," A light, gentle palate with soft malt, sweet, toasty barley with liquorice and dried herbs.", Just a touch of smoke trails off on the finish.,Scotch Whisky,Highland Whisky,Speyburn,Speyburn,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
1770 Whisky - 2019 Release,https://www.masterofmalt.com/whiskies/the-glasgow-distillery-co/1770-whisky-2019-release-whisky/,," Dried dark fruits with tropical undertones on the nose, followed by hints of biscuit, oak and cut grass freshness."," Butterscotch and burnt brown sugar sweetness, savoury cardamom, oodles of dried fruits, with marzipan, a good helping of honey and buttery shortbread."," Rich and thick orange marmalade, nutmeg, a prominent woodiness and a hint of spice.",Scotch Whisky,Scotch Whisky,The Glasgow Distillery Co.,The Glasgow Distillery Co.,,,Single Malt Whisky,,46.0%,50cl
Bruichladdich Bere Barley 2008,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-bere-barley-2008-whisky/,, Floral honeysuckle and fresh curd tart with plenty of vanilla cream. A touch of oak here and there.," A light, refreshing mouth feel with brown sugar, vanilla and lemon peels. Very subtle hints of sea breeze. "," Clean, refreshing qualities continue through the finish.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,,February 2008,Single Malt Whisky,,50.0%,70cl
Lagavulin 16 Year Old - Fèis Ìle 2017,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-16-year-old-feis-ile-2017-whisky/,,,,,,,,,,,,,,
Clynelish 24 Year Old - Batch 4 (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/clynelish/clynelish-24-year-old-batch-4-that-boutiquey-whisky-company-whisky/,," Saffron fragrance, cut oak, raisin and cherry bakewells."," Peppercorn and clove, followed by fragrant malt and Demerara sugar."," Gingerbread, toasted teacakes with honey.",Scotch Whisky,Highland Whisky,Clynelish,That Boutique-y Whisky Company,24 year old Whisky,,Single Malt Whisky,,49.7%,50cl
Glenglassaugh 40 Year Old,https://www.masterofmalt.com/whiskies/glenglassaugh/glenglassaugh-40-year-old-whisky/,," Ripe banana, pineapple and the first whiff of Oloroso Sherry. "," Thick and syrupy. Oloroso Sherry, crystallised ginger and toffee-dipped raisins. Hints of cocoa and cinnamon. ", Drying and rich with Sherry spice.,Scotch Whisky,Highland Whisky,Glenglassaugh,Glenglassaugh,40 year old Whisky,,Single Malt Whisky,,42.5%,70cl
Glenmorangie The Tarlogan,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-the-tarlogan-whisky/,, Creamy and luxurious vanilla. A hint of virgin oak intensity and desiccated coconut.," Chocolatey as it opens, before diving into clotted cream and honey.", Cherry ice cream topped with almonds. A subtle touch of fresh kumquat.,Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,,Single Malt Whisky,,43.0%,70cl
Craigellachie 17 Year Old,https://www.masterofmalt.com/whiskies/craigellachie/craigellachie-17-year-old-whisky/,," Apple crumble, melon and raisins. Honey'd barley, a little hint of smoke and vanilla ice-cream. "," It opens very sweet with pineapple and custard creams, though the meatiness soon shines through. More smoke on the palate than the nose, with a touch of clove and oak. ", Waxy and smoky on the finish. ,Scotch Whisky,Speyside Whisky,Craigellachie,Craigellachie,17 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Caol Ila 6 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/caol-ila/caol-ila-6-year-old-that-boutiquey-whisky-company/,," Toasted rye and Sesame Snaps, with a hint of thyme honey."," Barley forward, though honey stills plays a part. Seaweed, salted lemon and crystallised ginger.", Lasting peat smoke and spicy caraway.,Scotch Whisky,Islay Whisky,Caol Ila,That Boutique-y Whisky Company,6 year old Whisky,,Single Malt Whisky,,46.0%,50cl
Inchmurrin Madeira Wood Finish,https://www.masterofmalt.com/whiskies/loch-lomond/inchmurrin-madeira-wood-finish-whisky/,," Some juicy malt and stone fruit, lime peel and crushed almond."," Rounded nutty toffee, sweet wood spice, a hint of pot pourri and citrus.", Oak and dry barley.,Scotch Whisky,Highland Whisky,Loch Lomond,Loch Lomond,,,Single Malt Whisky,,46.0%,70cl
The Glenrothes 25 Year Old - Soleo Collection,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-25-year-old-soleo-collection-whisky/,"Salted caramel, mango and coriander seeds.",,,,Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,25 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Highland Park 18 Year Old - Viking Pride,https://www.masterofmalt.com/whiskies/highland-park-18-year-old-whisky/,, A profusion of ripe floral notes and fresh blossom with a delectable fruit salad. Notes of honeyed exotic fruits with a little botrytis., Creamy and full with fruit conserves and espresso. A creaminess with cinnamon and allspice. Notes of toffee with thick black forest honey with a touch more citrus., Long and well sugared with a herbal edge.,Scotch Whisky,Island Whisky,Highland Park,Highland Park,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bowmore Vault Edition - Atlantic Sea Salt,https://www.masterofmalt.com/whiskies/bowmore/bowmore-vault-edition-atlantic-sea-salt-whisky/,,,,,,,,,,,,,,
Knockando 15 Year Old 1999,https://www.masterofmalt.com/whiskies/knockando/knockando-15-year-old-1999-whisky/,," Vanilla pod, citrus blossom and plenty of barley."," Spicier than the nose suggests, with cinnamon and black pepper arriving on the palate first. Soon enough, this is soothed by waves of runny honey and blackberry jam.", A touch of oily malt lingers.,Scotch Whisky,Speyside Whisky,Knockando,Knockando,15 year old Whisky,1999,Single Malt Whisky,,43.0%,70cl
Arran Machrie Moor,https://www.masterofmalt.com/whiskies/arran/arran-machrie-moor-whisky/,, Peppery malt with a hint of baked earth sneaking in there. Balanced by orchard fruit and eucalyptus.," A burst of lychee juice as it opens, before waves of dry smoke and cut grass appear.", Lingering orange zest and lemongrass.,Scotch Whisky,Island Whisky,Arran,Arran,,,Single Malt Whisky,,46.0%,70cl
Isle of Jura The Road,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-the-road-whisky/,," Spiced rum with a hint of pineapple, slightly grassy at points, dense malt loaf."," Gingerbread, milk chocolate and hints of sultana.", Lasting cinnamon warmth and a touch of oily walnut.,Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,43.6%,100cl
Glenlivet 11 Year Old 2007 (cask 900242) - Un-Chillfiltered Collection (Signatory),https://www.masterofmalt.com/whiskies/the-glenlivet/glenlivet-11-year-old-2007-cask-900242-un-chillfiltered-collection-signatory-whisky/,," Sticky cinnamon buns and lots of dried fruit, with plum compote and a hint of fresh grass."," An almost oily mouthfeel, with rich treacle, spiced dark chocolate, sultana, fresh red berries and barley sugar, with candied orange peel."," A spicy finish, with lots of warming oak and peppery spice lingering alongside dark red fruits.",Scotch Whisky,Speyside Whisky,The Glenlivet,Signatory,11 year old Whisky,10 Apr 2007,Single Malt Whisky,27 Feb 2019,46.0%,70cl
Dailuaine 20 Year Old 1998 (casks 11370 & 11371) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/dailuaine/dailuaine-20-year-old-1998-casks-11370-and-11371-cask-strength-collection-signatory-whisky/,," Hot buttered toast, fresh hay, parma violets and orchard fruits."," Chocolate malt cereal, tobacco, distinctive meaty oak and tinned pears.", Dark chocolate praline lingers.,Scotch Whisky,Speyside Whisky,Dailuaine,Signatory,20 year old Whisky,27 Aug 1998,Single Malt Whisky,23 Apr 2019,53.6%,70cl
Glengoyne 18 Year Old,https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-18-year-old-whisky/,," Hints of soft spice and dried peels. A little apricot, honey and vanilla."," Creamy custard and dried peels. Allspice, manuka honey and hints of butterscotch.", Creamy caramel and malt. Candied peels.,Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The Glenrothes Whisky Maker's Cut - Soleo Collection,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-whisky-makers-cut-soleo-collection-whisky/,"Creamy vanilla, orange peel and nutmeg.",,,,Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,,,Single Malt Whisky,,48.8%,70cl
Cameronbridge 'Air' 27 Year Old 1991 - Old Particular Elements Collection (Douglas Laing),https://www.masterofmalt.com/whiskies/cameronbridge/cameronbridge-air-27-year-old-1991-old-particular-elements-collection-douglas-laing-whisky/,," Cookie dough, good Riesling, caramel shortbread and a hint of beeswax."," Buttery on the palate, with heavy vanilla and a hint of fruity rum. ", Lingering oak spice and a dusting of brown sugar.,Scotch Whisky,Lowland Whisky,Cameron Bridge,Douglas Laing,27 year old Whisky,October 1991,Single Malt Whisky,February 2019,56.5%,70cl
The Glenlivet 18 Year Old,https://www.masterofmalt.com/whiskies/the-glenlivet-18-year-old-whisky/,," Quite big and well-rounded. There are notes of chewy sultanas and Sherried peels, barley sugars and toasty cereals with petals and apple blossom. A touch of fudge and gentle wisps of smoke."," Full and rich with notes of chewy, tannic oak. Manuka honey and walnut with Cox’s apples and orange peels. Cut herbs - fennel and spearmint.", Long and dry with a spicy oak note.,Scotch Whisky,Speyside Whisky,The Glenlivet,The Glenlivet,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Tullibardine 25 Year Old,https://www.masterofmalt.com/whiskies/tullibardine/tullibardine-25-year-old-whisky/,," Rich notes of spice and manuka honey, hints of cooked fruit, toasted oak and malt loaf."," Thick, creamy palate entry with notes of bitter orange marmalade, kiwi fruit, custard apples, baking spice and oak.", Long finish with banana and strawberry jam.,Scotch Whisky,Highland Whisky,Tullibardine,Tullibardine,25 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Tomatin 14 Year Old Port Wood Finish,https://www.masterofmalt.com/whiskies/tomatin/tomatin-14-year-old-port-wood-finish-whisky/,," Quite a powerful nose. Big bunches of red berries and grapes. Vanilla, oak and hints of white pepper."," Dark chocolate dipped in strawberries. Crushed almonds, walnuts, Victoria sponge (with plenty of the prerequisite jam and cream in the middle) and a centre of oak.", Fruity on the finish.,Scotch Whisky,Highland Whisky,Tomatin,Tomatin,14 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Ardbeg Exploration Pack,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-exploration-pack-whisky/,,,,,,,,,,,,,,
Bunnahabhain An Cladach,https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-an-cladach-whisky/,," Almond and cherry, fruity coffee, a hint of damp oak."," Raisin, more cherry, black pepper and clove. A touch of walnut.", Medium length with sherried malt in charge.,Scotch Whisky,Islay Whisky,Bunnahabhain,Bunnahabhain,,,Single Malt Whisky,,50.0%,100cl
Highland Park Full Volume,https://www.masterofmalt.com/whiskies/highland-park/highland-park-full-volume-whisky/,," Vanilla cream, smooth fudge and barley sugar sweetness, balanced by citrus zest, lemon curd and oak spice."," More creamy vanilla, sweet lemon peel and tropical fruits, rich coconut balanced by hallmark aromatic smokiness."," Barley sugar returns on a long finish, supported by slightly tannic oak, even more creamy vanilla and lemon, with cedar wood and a hint of tangy pineapple.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,,,Single Malt Whisky,,47.2%,70cl
Loch Lomond Original,https://www.masterofmalt.com/whiskies/loch-lomond/loch-lomond-original-whisky/,," Caramel, oily walnut, a touch of dusty oak smokiness.", Digestive biscuits and ginger snaps. Subtle vegetal notes develop later on.," Diced almond, coffee bean, toasted malt.",Scotch Whisky,Highland Whisky,Loch Lomond,Loch Lomond,,,Single Malt Whisky,,40.0%,70cl
Dalmore Luceo,https://www.masterofmalt.com/whiskies/dalmore/dalmore-luceo-whisky/,," Cherry bakewell, sugary coffee and a touch of ginger."," More coffee! More cherries (and oodles of raisins now too)! A honey'd glaze to it, too.", Ginger and cocoa - a good combination.,Scotch Whisky,Highland Whisky,Dalmore,Dalmore,,,Single Malt Whisky,,40.0%,70cl
Ben Nevis 21 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-21-year-old-that-boutiquey-whisky-company-whisky/,," Thick, luscious toffee at first, followed by stewed fruits, caramelised pecans and candied peels. It’s enjoyably chocolatey throughout, with some savoury notes of salted rye crackers to balance the sweetness."," There are more rich, unctuous sweet notes from dark fruit jam, salted caramel and buttery biscuit. A flash of tropical fruit sharpness and a pinch of cumin providing some heat and complexity.", Dense malt and dark chocolate.,Scotch Whisky,Highland Whisky,Ben Nevis,That Boutique-y Whisky Company,21 year old Whisky,,Single Malt Whisky,,48.9%,50cl
Tomintoul 15 Year Old Portwood Finish,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-15-year-old-portwood-finish-whisky/,," Blueberries, clotted cream, scones, peppery oak and tobacco."," Barley sweets, caramel, quince, light wafts of red wine and Chewits. "," Zesty, damson, red grape and a hint of butterscotch candies. ",Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,15 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Wolfburn Lest We Forget,https://www.masterofmalt.com/whiskies/wolfburn/wolfburn-lest-we-forget-whisky/,," Whiffs of smoky peanut shells and baked earth, well-balanced by layers of apricot and lemon drizzle cake."," Oily walnut, toasted brioche, Bakewell tart and scones with fresh cream.", Just a hint of toasted oak smoke sticks around.,Scotch Whisky,Highland Whisky,Wolfburn,Wolfburn,,,Single Malt Whisky,,46.0%,70cl
The Macallan 18 Year Old 1978,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-18-year-old-1978-whisky/,,,,,,,,,,,,,,
Bunnahabhain 27 Year Old 1989 (cask 7714) - Revival (The Higginbottom),https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-27-year-old-1989-cask-7714-revival-the-higginbottom-whisky/,," Enjoyably fruit-forward with fresh pineapple, white grape and green apple. A whiff of sea air in the background."," Mature oak starts to take control on the palate, paired with fruity coffee and allspice.", Still has hints of juicy tropical fruits running through it.,Scotch Whisky,Islay Whisky,Bunnahabhain,HAH Whisky,27 year old Whisky,22 Dec 1989,Single Malt Whisky,05 Oct 2017,41.9%,50cl
